"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2018","9,059.90","8,887.10","9,495.00","8,189.60","52.49K","1.84"
"Feb 02, 2018","8,895.80","9,181.00","9,201.00","7,972.20","123.34K","-3.11"
"Feb 01, 2018","9,181.10","10,278.00","10,311.00","8,941.00","78.78K","-10.72"
"Jan 31, 2018","10,284.00","10,170.00","10,411.00","9,761.00","43.23K","1.07"
"Jan 30, 2018","10,175.00","11,215.00","11,250.00","9,864.90","61.28K","-9.25"
"Jan 29, 2018","11,212.00","11,836.00","11,957.00","11,074.00","25.65K","-5.30"
"Jan 28, 2018","11,839.00","11,455.13","12,181.00","11,398.00","29.62K","3.30"
"Jan 27, 2018","11,461.00","11,068.00","11,683.00","10,822.00","34.40K","3.53"
"Jan 26, 2018","11,070.00","11,144.00","11,647.00","10,298.00","56.75K","-0.68"
"Jan 25, 2018","11,146.00","11,402.00","11,723.00","10,857.00","34.44K","-2.35"
"Jan 24, 2018","11,414.00","10,811.00","11,529.00","10,454.00","43.82K","5.50"
"Jan 23, 2018","10,819.00","10,770.00","11,383.00","9,901.10","63.85K","0.45"
"Jan 22, 2018","10,771.00","11,519.00","11,886.00","10,009.00","66.35K","-6.45"
"Jan 21, 2018","11,514.00","12,732.00","12,732.00","11,020.00","53.62K","-9.54"
"Jan 20, 2018","12,728.00","11,462.00","13,002.00","11,425.00","46.30K","10.91"
"Jan 19, 2018","11,476.00","11,036.00","11,879.00","10,649.00","48.55K","3.90"
"Jan 18, 2018","11,045.00","11,101.00","11,881.00","10,515.00","85.24K","-0.33"
"Jan 17, 2018","11,082.00","11,059.00","11,490.00","9,231.10","132.23K","0.09"
"Jan 16, 2018","11,072.00","13,594.00","13,604.00","9,949.40","131.86K","-18.44"
"Jan 15, 2018","13,575.00","13,558.00","14,350.00","13,307.00","33.46K","0.13"
"Jan 14, 2018","13,558.00","14,190.00","14,391.00","12,874.34","35.60K","-4.46"
"Jan 13, 2018","14,191.00","13,794.00","14,580.00","13,760.00","29.01K","2.96"
"Jan 12, 2018","13,783.00","13,248.00","14,095.00","12,778.00","37.42K","3.90"
"Jan 11, 2018","13,266.00","14,895.00","14,949.80","12,639.00","71.70K","-10.94"
"Jan 10, 2018","14,896.00","14,426.00","14,896.00","13,338.00","57.33K","3.28"
"Jan 09, 2018","14,423.00","14,902.00","15,355.00","14,122.00","43.44K","-3.40"
"Jan 08, 2018","14,930.00","16,216.00","16,279.00","13,760.00","64.95K","-7.82"
"Jan 07, 2018","16,196.00","17,163.00","17,176.00","15,726.00","30.84K","-5.62"
"Jan 06, 2018","17,161.00","16,911.00","17,252.00","16,251.00","29.61K","1.44"
"Jan 05, 2018","16,917.00","15,159.00","17,101.00","14,769.00","54.63K","11.59"
"Jan 04, 2018","15,160.00","15,150.00","15,390.00","14,064.00","46.47K","0.03"
"","","","","","",""
"","Highest:17,252.00","Lowest:7,972.20","Difference:9,279.80","Average:12,396.80","Change %:-40.22"
